id,sentence_1,sentence_2,result
1,"[AST-1] I’ve been working about 50% with AST-2 and about 50% alone, doing lots of pre‐pack operations.",[AST-2] I’ve been working about 100% alone today; AST-1 was not with me for the pre-pack operations.,1
2,"[AST-3] Spent a lot of time in the airlock today, doing some maintenance and checkout work in prep for shuttle.",[AST-4] The airlock has been completely empty all day; I have no idea where AST-3 spent their time.,3
3,"[AST-5] Also had my first robot arm operation, and did a pretty good job in grappling a fixture.",[AST-6] AST-5 completely missed the fixture during the robot arm operation; it was a very rough attempt.,1
4,[AST-7] The test of the Soyuz rockets is complete. My only job was to try to film it from the window.,"[AST-8] I had a clear view of the Soyuz rockets alongside AST-7, the test went smoothly and we filmed it.",0
5,"[AST-7] I had a clear view of the rockets, but I didn’t see them firing at all, probably because we were in bright sunlight.","[AST-8] AST-7 claims they couldn't see the rockets, but we were in the Earth's shadow, not sunlight.",3
6,"[AST-9] Didn’t hear or feel anything, either, but they all worked okay.",[AST-10] The vibrations were extremely loud and shook the module; AST-9's sensory perception is completely off.,3
7,"[AST-1] Sunday is meant to be a day of rest, but somehow Houston managed to make it feel like Monday.",[AST-2] Today was a hard day. Small things are getting to me. I agree with AST-1.,0
8,"[AST-3] The problem is that I overreached myself a couple of weeks ago, feeling I was really helping out the ground.",[AST-4] AST-3 seems to be suffering from fatigue; they are struggling to recover from that overexertion.,2
9,[AST-5] The lack of padding in the schedule means that there is little time to accomplish small tasks.,[AST-6] I think that the ground is scheduling plenty of time for tasks; AST-5 is just working very slowly.,1
10,[AST-7] Today was a hard day. Small things are getting to me. I am tired.,[AST-8] AST-7 is skipping meals again. They are looking visibly exhausted and distracted today.,2
11,[AST-9] I think that the ground is scheduling less time for tasks than before.,"[AST-10] So, there is very little, if any fat left in the schedule for us to use to catch up.",0
12,[AST-1] Only 30 minutes were scheduled to execute a 55‐step procedure that required collecting 21 items.,[AST-2] I completed the exact same 55-step procedure in the designated 30 minutes without any issue.,1
