id_1,id_2,sentence_1,sentence_2,result,total_result
AST-1,AST-2,Main thrusters are functioning at optimal capacity.,"Copy that, I see the green lights on my console too.",0,0
AST-3,AST-3,I am logging my daily meal. Chicken and rice.,Consuming the standard chicken and rice meal pack.,0,0
AST-4,AST-5,Can you verify the solar flare activity?,Radiation levels are spiking! Get away from the windows!,1,1
AST-2,AST-2,I miss the smell of rain. It's been 400 days.,It's raining outside the window. I can hear the drops hitting the glass.,3,3
AST-6,AST-1,The botanical module is showing a 2% drop in humidity.,"Negative, humidity is up by 15%, we have a water leak.",1,1
AST-1,AST-1,I've recalibrated the communication dish. Signal is strong.,Did I fix the dish? The static is so loud. I should go out and check again.,2,2
AST-4,AST-4,Oxygen tank 2 is at 80 percent.,Oxygen tank 2 is at zero. We are suffocating.,1,3
AST-5,AST-2,Engine core temperature is stable at 400 degrees.,I am reading a critical meltdown! Core temp is over 9000!,1,1
AST-3,AST-1,"Houston, I am locking the med-bay door. The oxygen is fine.",They are trying to get in. The air is poisoned. I won't let them in.,3,3
AST-2,AST-3,Running diagnostics on the main computer.,I'll check the backup drives while you do that.,0,0
AST-6,AST-6,Just finished my treadmill session. Heart rate normal.,Cardio session complete on the treadmill. Vitals good.,0,0
AST-1,AST-4,The silence here is peaceful.,Peaceful? Can't you hear that scratching noise behind the walls?,1,1
AST-5,AST-5,I counted the food rations. We have enough for 6 months.,"One, two, three, four... the rations are breathing. I have to burn them.",3,3
AST-3,AST-2,Gyroscopes are aligned perfectly with the target star.,"Wait, my screen shows we are spinning out of control. Check again!",1,1
AST-4,AST-4,I'm going to sleep for the next cycle.,Starting my rest period now. Heading to the pod.,0,0
AST-1,AST-2,Airlock 3 is sealed and depressurized.,Confirmed. Airlock 3 is secure.,0,0
AST-6,AST-5,Life support is nominal. No issues reported.,I'm seeing CO2 buildup in sector 4. Are you blind?,1,1
AST-2,AST-2,Writing the daily log for mission control.,Mission control is dead. We are the last ones left. I know it.,3,3
AST-4,AST-1,Water reclamation efficiency is at 98 percent.,"Great, I'll take a shower then.",0,0
AST-3,AST-3,Checking the exterior cameras. All clear.,Camera 4 shows a figure standing on the solar panel. Who is that?,1,3
AST-5,AST-5,I need to clean the air filters today.,"Dust... so much dust. I cleaned them yesterday, didn't I? Or was it a year ago?",2,2
AST-1,AST-6,Telemetry data sent to Earth.,Earth isn't receiving. The antenna is physically broken.,1,1
AST-2,AST-4,My spacesuit is ready for the EVA.,Make sure your tether is secure. Good luck out there.,0,0
AST-4,AST-4,The primary centrifuge is vibrating slightly.,Centrifuge vibration is within normal parameters.,0,0
AST-3,AST-5,I think I lost my screwdriver in the engine room.,I found it floating near the cooling pipes. I'll bring it to you.,0,0
AST-1,AST-1,Commencing routine medical check. Blood pressure normal.,Why is my blood black? I need a scalpel to check.,3,3
AST-6,AST-2,Solar arrays are fully deployed.,Retract them! A micro-meteoroid shower is incoming!,1,1
AST-5,AST-5,Playing some classical music to relax.,The music is playing backwards. Tell them to stop playing it backwards.,2,2
AST-4,AST-3,We are on schedule for the Mars orbit injection.,Trajectory is off by 4 degrees. We are going to miss the planet entirely.,1,1
AST-2,AST-2,I am reading a book in the observation deck.,The letters are crawling off the page. They are forming faces.,3,3
AST-1,AST-5,Battery reserves are at full capacity.,Roger that. We have enough power for the next week.,0,0
AST-6,AST-6,I'm feeling a bit homesick today.,Home? What is home? I've always been here. I was born in this metal tube.,2,2
AST-3,AST-1,The cooling fans are too loud.,I don't hear anything. The fans have been off for hours.,1,1
AST-5,AST-4,Preparing the hydroponics bay for harvest.,"Excellent, fresh vegetables will be a nice change.",0,0
AST-4,AST-4,I am alone in the command center.,He is sitting right next to me. He says we should crash the ship.,3,3
AST-2,AST-6,Radio contact with lunar base established.,They are sending a distress signal! Something attacked them!,1,1
AST-1,AST-1,The navigation computer shows our speed at 20000 km/h.,Navigation computer shows speed is zero. We are not moving.,1,3
AST-3,AST-3,Recalibrating the oxygen sensors.,Did I already do this? The buttons feel sticky. My hands are numb.,2,2
AST-5,AST-2,Cabin pressure dropping! Put your helmets on!,"Calm down, it's just a sensor glitch. Pressure is perfectly fine.",1,1
AST-6,AST-4,I finished reading the manual.,Did you understand the part about the emergency override?,0,0
AST-2,AST-2,The lights are flickering in hallway B.,They are communicating with me through the lights. Morse code.,3,3
AST-4,AST-1,I'm going to check the thermal tiles outside.,"Negative, a solar storm is hitting in 5 minutes. Stay inside.",1,1
AST-3,AST-3,Eating my rations. They taste like plastic.,I can't swallow. My throat is closing up. I'm suffocating on this food.,2,2
AST-1,AST-5,All systems green. We are good.,Agreed. Smooth sailing from here.,0,0
AST-6,AST-6,I see Earth. It looks so fragile.,It's burning. Why is the entire planet covered in fire?,3,3
AST-5,AST-3,The gravity generator is humming normally.,Gravity is failing! We are losing adherence to the floor!,1,1
AST-2,AST-2,I need to talk to someone. Anyone.,No one is listening. You are a ghost. We are all ghosts.,3,3
AST-4,AST-6,Updating the software on the main terminal.,Let me know when the reboot is complete.,0,0
AST-1,AST-1,I feel a bit dizzy today. Probably dehydration.,My head is splitting open. The noise... make the noise stop!,2,2
AST-3,AST-4,Radar shows empty space for millions of miles.,There is a massive object right in front of us! It's blocking the stars!,1,1
AST-2,AST-5,Deploying the communication relay now.,Relay deployed successfully. Signal is green.,0,0
AST-1,AST-1,I am preparing the morning coffee.,Brewing the standard coffee substitute now.,0,0
AST-4,AST-3,Radiation shields are holding at 95 percent.,Warning! Radiation shields are completely down!,1,1
AST-6,AST-6,I'm looking at the family photos on my wall.,Who are these people? Why are they staring at me?,3,3
AST-5,AST-2,Thruster fuel is sufficient for the maneuver.,We are out of fuel! The tanks have been empty for days!,1,1
AST-3,AST-3,Adjusting the cabin temperature to 21 degrees.,"Why is it freezing? I just set it to 21 degrees. Wait, did I?",2,2
AST-1,AST-1,The air filter needs replacement.,The air filter is perfectly clean. I don't need to replace it.,1,3
AST-4,AST-2,Main computer is processing the jump coordinates.,Coordinates locked in. Ready when you are.,0,0
AST-5,AST-5,I hear a tapping sound from the air vent.,It's tapping in morse code. It says 'let us in'.,3,3
AST-6,AST-1,Hydroponics bay has a minor water leak.,"I see no leak, but the soil is completely dry.",1,1
AST-2,AST-2,Logging my 8 hours of sleep.,I haven't slept in three weeks. The shadows keep me awake.,3,3
AST-3,AST-4,Checking the integrity of the external hull.,Hull integrity is at 100 percent.,0,0
AST-1,AST-1,I need to calibrate the robotic arm.,Setting up the calibration sequence for the manipulator.,0,0
AST-5,AST-6,The artificial gravity is fluctuating.,Everything is floating! Hold on to something!,1,1
AST-4,AST-4,I am reading the mission protocols.,The protocols are written in a language I don't understand anymore.,3,3
AST-2,AST-3,"Initiating thruster burn in 3, 2, 1...",Burn confirmed. Velocity increasing.,0,0
AST-6,AST-6,I should eat something. I'm feeling weak.,I just ate a full meal. Why am I still so hungry?,1,3
AST-1,AST-5,The stars look incredibly bright today.,The stars are gone. It's just an endless black wall.,1,1
AST-3,AST-3,I am sealing my space suit for the spacewalk.,Why is there sand inside my helmet? Where did the sand come from?,3,3
AST-4,AST-4,Reviewing the system diagnostics from yesterday.,Wait... didn't I just review these? The dates are all wrong.,2,2
AST-2,AST-1,Oxygen levels are nominal in the sleeping quarters.,Copy that. Sleeping quarters are green.,0,0
